,log2fc,padj
AQR,0.511234478821879,0.005223366541232002
FLVCR2,0.4003522623632856,0.005259797972416699
ATP2A2,0.4768207580885955,0.005296276943173391
ITPRIPL2,0.43039402444853536,0.005296276943173391
COG2,0.48168632008589096,0.005296276943173391
RREB1,0.4285397500796124,0.005296276943173391
NBPF14,0.3948303729646492,0.005308759803630057
GTF3C3,0.528482033553952,0.005308759803630057
UTP20,0.6290795837247214,0.005308759803630057
ATXN7L3B,0.5612031912101418,0.005366441932507465
SGSH,0.5328336402691223,0.005366441932507465
IRAK2,0.37922653470096845,0.005416661908743839
DPYSL2,0.3951347272832644,0.005430750790999849
DDX42,0.4448645116983645,0.0054334644233653
RMND1,0.44049461248879096,0.0054334644233653
CES4A,0.3316610906254658,0.0054334644233653
CLASP2,0.5385399802522839,0.0054334644233653
WDR36,0.5751261590117078,0.005438773821197696
YWHAG,0.45046841115526526,0.005438773821197696
POFUT1,0.424084306030041,0.005438773821197696
ATR,0.5794866679572506,0.005438773821197696
FER,0.5334591979240022,0.0054770369406963735
TTC19,0.5572585716364689,0.0054770369406963735
EHD4,0.4207608449526967,0.0055078367381743674
PUM1,0.4959411360927719,0.005539632243672423
DMAC2L,0.4238420068683211,0.005539632243672423
GPR55,0.5329444953722611,0.005539632243672423
RPP14,0.47417149601738107,0.005539632243672423
ZNF439,0.5842099044622269,0.005541297852103299
ZNF595,0.5463674404600285,0.005541297852103299
INO80,0.44698170058686326,0.005541297852103299
LONRF1,0.5100270083284988,0.005541297852103299
DOP1A,0.5688196732428938,0.005541297852103299
UGDH,0.5167335491813976,0.005541297852103299
GANC,0.4729208086362915,0.005541297852103299
CLTC,0.4807926301365528,0.005544620103121405
DNAAF9,0.45952710634353,0.005544620103121405
OPA1,0.5104852249358158,0.005549775926791706
ARAP2,0.6383648694287007,0.005564108761702402
ZNF587B,0.4922677813272536,0.005564108761702402
YPEL2,0.42805857008672454,0.005597813499599524
TSN,0.4731414062627737,0.005626446973116837
ZNF549,0.5502758780849941,0.005644729031933294
HELQ,0.5385249254755085,0.005658391621457168
ZFP30,0.5062125282539349,0.005664119907094289
INTS2,0.5683035520493345,0.005664119907094289
DTD2,0.46620321627818573,0.005664119907094289
PEX10,0.3186296351906108,0.005664119907094289
PARG,0.4544490549700919,0.005664119907094289
RCAN1,0.45401127023839205,0.005664119907094289
CTSF,0.5179974466167572,0.005664119907094289
RIN2,0.44565987351571135,0.005664119907094289
ZNF682,0.45077687198604544,0.005664119907094289
NSUN4,0.4394797492339819,0.005664119907094289
BCOR,0.5133326333540298,0.005664119907094289
CCDC88A,0.581725438874531,0.005664119907094289
SON,0.4651610669877444,0.005664119907094289
SCOC,0.65001470040629,0.005664119907094289
ETF1,0.40908490677021714,0.005664119907094289
KANSL2,0.500388859792464,0.005689593611487703
HEXA,0.4296772092251775,0.005698613972182007
PDPR2P,0.5077301864763242,0.0056989038941679775
ZNF776,0.5211306543114453,0.0056989038941679775
DHX33,0.46460823643492066,0.005728911567906556
CASK,0.5646814771743238,0.005730542424964656
ZNF330,0.4327616864345716,0.005755474073194043
ARHGEF6,0.4611068065213022,0.005755474073194043
TOMM70,0.5674483113270723,0.005757849767806223
USP24,0.528534766092287,0.005757849767806223
EP400,0.5206291038181803,0.005762723872287563
ATP1B3,0.3946386950385863,0.005787541751607224
GZF1,0.4292839001713551,0.005792725486160721
AP1AR,0.5785879070862423,0.005812469035005015
USP40,0.43628349339354466,0.0058212779798174265
CREBL2,0.4793546098433277,0.0058212779798174265
SIRT1,0.57436269182283,0.005827670785818849
MARS2,0.5464472120158512,0.005827670785818849
ZNF322,0.535700177136369,0.005848602344819945
SRSF2,0.493519643698229,0.005848602344819945
RFC3,0.38298777300507814,0.005848602344819945
QSER1,0.560418891270908,0.005848602344819945
OSBP,0.4498959603386785,0.005848602344819945
GNS,0.4330002458939193,0.005848602344819945
PAN2,0.4700571001485754,0.005848602344819945
ZNF510,0.567756240098805,0.005848602344819945
TAS2R14,0.323995197531299,0.005848602344819945
